id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone
3733,KNKX,medium_airport,Miramar Marine Corps Air Station - Mitscher Field,32.86840057,-117.1429977,477,US,San Diego,KNKX,NKX,CA,America/Los_Angeles
20647,KNLC,medium_airport,Lemoore Naval Air Station (Reeves Field) Airport,36.33300018,-119.9520035,232,US,Lemoore,KNLC,NLC,CA,America/Los_Angeles
3734,KNMM,medium_airport,Naval Air Station Meridian / McCain Field,32.5531,-88.55406,316,US,Lauderdale,,NMM,MS,America/Chicago
3735,KNPA,medium_airport,Naval Air Station Pensacola Forrest Sherman Field,30.352699,-87.318604,28,US,Pensacola,KNPA,NPA,FL,America/Chicago
3736,KNQA,medium_airport,Millington-Memphis Airport,35.356701,-89.8703,320,US,Millington,KNQA,NQA,TN,America/Chicago
3737,KNQI,medium_airport,Kingsville Naval Air Station,27.5072002411,-97.8097000122,50,US,Kingsville,KNQI,NQI,TX,America/Chicago
3738,KNQX,medium_airport,Naval Air Station Key West/Boca Chica Field,24.57579994,-81.68890381,6,US,Key West,KNQX,NQX,FL,America/New_York
20652,KNRB,medium_airport,Naval Station Mayport / Admiral David L McDonald Field,30.3911,-81.424698,15,US,Jacksonville,KNRB,NRB,FL,America/New_York
20656,KNSE,medium_airport,Whiting Field Naval Air Station - North,30.7241993,-87.02189636,199,US,Milton,KNSE,NSE,FL,America/Chicago
3739,KNTD,medium_airport,Point Mugu Naval Air Station (Naval Base Ventura Co),34.120300293,-119.121002197,13,US,Point Mugu,KNTD,NTD,CA,America/Los_Angeles
3740,KNTU,medium_airport,Oceana Naval Air Station,36.820702,-76.033501,23,US,Virginia Beach,KNTU,NTU,VA,America/New_York
3741,KNUQ,medium_airport,Moffett Federal Airfield,37.4161,-122.049004,32,US,Mountain View,KNUQ,NUQ,CA,America/Los_Angeles
20661,KNUW,medium_airport,Whidbey Island Naval Air Station (Ault Field),48.351799,-122.655998,47,US,Oak Harbor,KNUW,NUW,WA,America/Los_Angeles
20669,KNYG,medium_airport,Quantico Marine Corps Airfield / Turner Field,38.501701,-77.305298,10,US,Quantico,KNYG,NYG,VA,America/New_York
3961,KNYL,medium_airport,Yuma International Airport / Marine Corps Air Station Yuma,32.650938,-114.609375,213,US,Yuma,KNYL,NYL,AZ,America/Phoenix
3743,KNZY,medium_airport,North Island Naval Air Station-Halsey Field,32.69919968,-117.2149963,26,US,San Diego,KNZY,NZY,CA,America/Los_Angeles
20709,KOAJ,medium_airport,Albert J Ellis Airport,34.829201,-77.612099,94,US,Richlands,KOAJ,OAJ,NC,America/New_York
20722,KOFK,medium_airport,Karl Stefan Memorial Airport,41.985500335693,-97.435096740723,1573,US,Norfolk,KOFK,OFK,NE,America/Chicago
20725,KOGB,medium_airport,Orangeburg Municipal Airport,33.456798553467,-80.859497070312,195,US,Orangeburg,KOGB,OGB,SC,America/New_York
3746,KOGD,medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,4473,US,Ogden,KOGD,OGD,UT,America/Denver
20727,KOGS,medium_airport,Ogdensburg International Airport,44.6819,-75.4655,297,US,Ogdensburg,KOGS,OGS,NY,America/New_York
20739,KOLF,medium_airport,L M Clayton Airport,48.094501,-105.574997,1986,US,Wolf Point,KOLF,OLF,MT,America/Denver
